Cell ID,Area,Mean Intensity
1,294,97.89
2,735,107.59
3,54,95.65
4,561,148.74
5,361,81.57
6,619,93.97
7,343,96.2
8,1309,146.36
9,844,105.77
10,1,59.0
11,858,112.21
12,669,110.58
13,26,114.46
14,335,129.45
15,628,105.3
16,910,102.03
17,746,129.84
18,1016,136.88
19,544,86.06
20,800,140.86
21,468,104.2
22,796,119.36
23,443,109.71
24,421,114.9
25,126,62.9
26,1,59.0
27,1,58.0
28,1,60.0
29,1,58.0
30,985,146.09
31,4,59.25
32,3,59.0
33,1,59.0
34,15,62.4
35,1,58.0
36,1,58.0
37,7,61.14
38,3,59.0
39,1,58.0
40,1,59.0
41,533,87.39
42,590,97.78
43,730,131.79
44,526,83.24
45,411,113.59
46,435,100.94
47,491,95.27
48,454,105.89
49,561,78.58
50,717,130.5
51,521,112.9
52,7,61.29
53,568,84.47
54,744,135.28
55,545,100.63
56,646,83.65
57,853,110.42
58,916,108.38
59,228,139.34
60,437,111.81
61,681,98.99
62,390,121.87
63,436,110.15
64,558,103.45
65,775,113.48
66,599,115.87
67,553,113.71
68,579,104.25
69,481,101.63
70,691,136.87
71,645,76.35
72,774,119.63
73,418,107.82
74,501,95.3
75,513,96.15
76,294,166.65
77,715,101.59
78,240,156.32
79,910,110.39
80,9,60.56
81,469,72.1
82,817,93.94
83,385,63.46
84,756,132.52
85,517,90.28
86,814,103.36
87,1,61.0
88,469,90.66
89,855,107.78
90,1,62.0
91,1,58.0
92,2,59.0
93,1,59.0
94,702,138.83
95,422,71.94
96,533,78.51
97,1,58.0
98,537,72.66
99,542,84.28
100,1,58.0
101,1,58.0
102,3,59.0
103,4,58.75
104,1,58.0
105,434,64.57
106,1,58.0
107,1,60.0
108,1,61.0
109,835,102.8
110,837,106.12
111,1,59.0
112,399,98.57
113,974,88.13
114,522,69.13
115,817,111.53
116,1,62.0
117,1,58.0
118,5,58.4
119,1,61.0
120,506,81.65
121,422,65.83
122,1,61.0
123,1,59.0
124,420,92.45
125,1,61.0
126,1,59.0
127,396,105.36
128,1,58.0
129,506,81.17
130,1,58.0
131,2,59.5
132,206,84.45
133,476,115.72
134,1,58.0
135,1,62.0
136,1,58.0
137,479,69.59
138,482,85.77
139,442,68.04
140,2795,130.17
141,1,59.0
142,1,60.0
143,1,59.0
144,1,59.0
145,1,59.0
146,3,59.67
147,1,61.0
148,1,59.0
149,1,58.0
